RegionID,RegionName,City,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
268384,Outer Sunset,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,181,322731,322041,322103,321895,322782,323717,325732,327805,330334,333142,335843,338853,342429,346497,350161,354571,358516,362658,365622,368996,372670,376747,381265,385803,390078,395286,400196,406299,410684,416043,421123,426260,429934,433049,436611,440090,443522,445609,448710,450258,454317,457526,462630,468249,476081,484528,492809,501918,512089,523332,534889,546781,557788,570178,583164,596863,610451,623555,635260,643409,650155,654765,658109,660328,662024,662933,660137,656618,651078,648338,645143,646159,647009,653926,661470,670077,677944,682890,688644,692954,699740,703099,709830,715447,722617,721133,720461,723354,729643,737050,743343,752384,761040,774332,785318,795915,803853,816172,828864,838747,846989,858453,872487,885557,896801,906315,920310,932392,944527,953709,961498,969169,973425,978720,984008,986429,990080,989017,982615,973795,968975,969583,972147,972935,976241,975959,974301,974137,975613,979095,986599,997304,1007393,1011145,1012420,1013159,1014829,1017664,1019066,1019526,1010111,1002611,989978,984661,976956,974173,963710,951186,937236,925444,912959,900324,889643,878288,866593,854212,842806,833949,831752,833942,828932,820158,815570,816500,827508,836490,847380,848772,850215,848308,847099,839762,839757,842560,843838,840956,827984,818212,807393,800457,794366,784711,775490,769275,768546,766916,767081,764915,767461,765329,767911,772651,776584,781935,788738,804302,814807,825714,832419,840286,849562,866882,876775,888160,899998,924668,948282,961747,973753,981793,989579,996013,1005061,1013691,1030280,1042552,1055210,1054575,1049800,1046110,1044845,1050717,1063069,1086573,1102063,1107189,1113526,1128384,1149781,1164524,1185707,1210500,1237604,1258743,1274363,1275772,1283394,1304251,1319119,1326092,1317440,1321738,1323944,1323167,1320039,1323050,1332868,1350351,1366804,1378150,1383886,1380622,1388512,1403168,1415636,1435524,1455088,1483076,1498402,1519527,1537445,1552423,1568360,1600429,1628295,1639659,1651511,1658293,1669351,1663965,1658093,1645185,1628045,1625561,1628050,1629328,1627547,1628981,1631745,1634839,1635364,1642482,1655633,1670180,1690097,1701720,1711288
274552,Mission,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,259,481792,475826,472462,470321,475228,477504,479711,480420,482929,486083,491507,496771,504412,517599,525837,533988,532850,536643,540689,546949,550274,554550,557933,562451,564943,568323,575812,581192,589547,598019,608549,619944,634235,648516,662132,671900,678069,685275,695334,712811,725558,741967,759348,782021,804921,824542,839207,851568,872853,901594,924976,946847,968745,986114,998617,1013312,1033707,1055718,1070908,1084728,1087512,1071412,1054037,1034246,1024667,1015402,1007595,1002300,987667,976041,963596,958364,953573,966454,986763,1008069,1024174,1032014,1039105,1028843,1023824,1018987,1027625,1033273,1043178,1038472,1032278,1020488,1013639,1014464,1016107,1022645,1027522,1037622,1048925,1059183,1065760,1077322,1086303,1104522,1124482,1144233,1165705,1192694,1221823,1243822,1263150,1278777,1298419,1314330,1334199,1356001,1365058,1377604,1387520,1399219,1404673,1402635,1396955,1398411,1400827,1411375,1418227,1410973,1403843,1395955,1388248,1380665,1377548,1390096,1405919,1416425,1428690,1437902,1444364,1458620,1481744,1498474,1515915,1531347,1544869,1544519,1521891,1507460,1480552,1461545,1443679,1429131,1415305,1396098,1375614,1357603,1339176,1329090,1326044,1329316,1342468,1349352,1352786,1347699,1341448,1341923,1353190,1355608,1359905,1338258,1332812,1310343,1301575,1288455,1284073,1279733,1277497,1274416,1264455,1251046,1234568,1240991,1240619,1255644,1252985,1253099,1236711,1222539,1205534,1199387,1207557,1223390,1238740,1248106,1262819,1269422,1270470,1276493,1297969,1334375,1381140,1415771,1421666,1415826,1421484,1442129,1450557,1458863,1483966,1518532,1555397,1575134,1578011,1573557,1574135,1599293,1629033,1652643,1681770,1706630,1726375,1728163,1720361,1717551,1718666,1731484,1757356,1789202,1805227,1808695,1821662,1845964,1882703,1904632,1937319,1971975,2010902,2049023,2080390,2087968,2097997,2122669,2145662,2157235,2138023,2149626,2146888,2148476,2135375,2139146,2146492,2166225,2178720,2194721,2198623,2209431,2229081,2247659,2272959,2288555,2321570,2335056,2344386,2347132,2363092,2367731,2369781,2373260,2391684,2394667,2408369,2447379,2505183,2544875,2575274,2595150,2612646,2627407,2639223,2652009,2651699,2665786,2670323,2659625,2629296,2621707,2624632,2637221,2646053,2661100,2681972
268383,Outer Richmond,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,388,387559,384113,381605,381132,382363,383268,384595,385211,386861,389244,392414,395519,399530,405128,410722,414721,417956,423338,428543,435699,441954,448781,455091,461543,469218,478121,486872,494829,500207,503994,508741,514719,520329,523832,527696,533131,537745,539676,541155,544692,552669,562110,572214,579474,590214,603607,616988,627301,638773,650753,666196,680203,692864,703759,713343,728409,741988,752013,756641,759972,764747,770215,770986,768605,764619,763305,762050,758530,753186,753996,758199,766457,770718,778408,786757,797059,809891,820594,834311,841727,848769,848232,850882,853444,858398,856285,857028,861542,864878,865875,860166,863489,870769,886695,900332,913206,924288,937172,949830,962295,974695,988770,1003980,1017568,1030959,1041743,1054920,1060315,1067752,1074066,1080690,1084272,1087536,1096215,1113228,1122483,1124301,1116923,1107178,1106119,1103593,1109381,1111496,1111155,1108182,1103862,1097475,1095717,1100291,1108818,1121828,1129891,1141974,1140598,1145533,1153918,1165607,1172973,1175544,1181375,1179281,1173656,1162916,1158228,1153808,1155620,1145889,1130190,1116603,1106712,1091513,1065788,1040264,1027161,1010938,996694,977006,968411,968413,970576,961277,945185,939254,942103,955928,960737,968770,968407,971507,965882,956010,941533,934649,934255,932447,927947,914989,906946,897242,891746,885823,876572,864835,862007,863962,867708,869451,875334,884401,889038,897161,905055,909149,914499,926820,940829,954564,966984,982111,987745,993264,1002246,1006899,1014004,1026563,1051301,1078536,1101573,1120631,1132405,1134455,1146016,1163267,1185129,1210270,1235825,1265815,1284975,1289995,1291681,1296328,1312467,1338160,1361636,1372985,1376864,1392590,1413128,1431781,1436097,1455436,1482352,1506973,1521214,1529196,1534671,1547807,1570757,1583821,1587680,1574529,1580341,1578587,1582706,1581725,1594381,1604807,1623421,1636378,1636331,1623902,1604494,1606893,1622218,1641899,1645565,1654172,1662616,1689495,1709373,1733949,1755960,1789659,1837010,1875869,1880925,1885495,1878513,1890949,1885447,1880662,1870580,1856782,1867596,1864155,1859631,1842470,1851438,1860476,1886166,1897679,1922206,1940039,1966822,1998493,2018472,2051031
268219,Inner Richmond,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,462,480285,478335,476132,472972,470362,468910,470290,473271,478331,485175,493780,502421,507382,509885,513610,522692,533117,544732,552926,558716,561437,561490,562780,565360,572656,583208,595971,602749,608209,608976,611750,616982,626578,637754,646808,654281,659599,663716,666099,672268,678740,692055,702815,713839,718939,726407,734879,746299,760152,775936,795015,819033,844445,863651,884902,904917,926520,946443,961938,976652,985147,986036,980083,968321,958043,953649,947693,947516,943721,941543,935835,930522,926927,936931,957884,976257,988572,990816,995805,994427,1002496,1001708,1013510,1016671,1026133,1020406,1011836,1005436,1012251,1022650,1034329,1041789,1046789,1061535,1070766,1086615,1097872,1112898,1127661,1149189,1159271,1173085,1181428,1202734,1221116,1242123,1266225,1291294,1310174,1338581,1359421,1379270,1392089,1413089,1436492,1449557,1461413,1462280,1456899,1444993,1444013,1433768,1433623,1415903,1412266,1394442,1383664,1373459,1372003,1374358,1383638,1390902,1397101,1395530,1393889,1403032,1408942,1416586,1420954,1436788,1437327,1431849,1416187,1413351,1410272,1415372,1403778,1392543,1387562,1390748,1376372,1347734,1328668,1325656,1326110,1321802,1312306,1309670,1315928,1321108,1310856,1297369,1307615,1324059,1337023,1335920,1335553,1333987,1332164,1327928,1330240,1333632,1338097,1332578,1320664,1308875,1298689,1289423,1278971,1276242,1279450,1284893,1273132,1260463,1253863,1260928,1268504,1273239,1276989,1277196,1287567,1292621,1299273,1291010,1298366,1312547,1340599,1368924,1386474,1398445,1408972,1437564,1453487,1474088,1488907,1522530,1553043,1571845,1572410,1564363,1563568,1577290,1600099,1619476,1637395,1648845,1667208,1686301,1704429,1725707,1756523,1779556,1799651,1817571,1834070,1844713,1872846,1905667,1932534,1933853,1940316,1957685,1957053,1966620,1990924,2012753,2042778,2061750,2069867,2060628,2044572,2051768,2054072,2055308,2062549,2073266,2066159,2064001,2049947,2047538,2042320,2042444,2055699,2074549,2087681,2079095,2080872,2104707,2147191,2188970,2211944,2232322,2246443,2287288,2321966,2338208,2367677,2435810,2511194,2556474,2563463,2568869,2563006,2576658,2588222,2599940,2600141,2608094,2609743,2593719,2565624,2549469,2556150,2563179,2590478,2600988,2616501
268396,Parkside,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,516,361332,361139,361817,362854,364084,365639,368108,370210,373103,376026,380093,383669,388075,392189,396095,400076,404106,408471,412154,417718,422436,427888,431795,437854,443319,447622,450592,453750,457455,461504,465987,469402,473015,475822,481094,484933,489686,494088,501131,508593,516888,523926,530103,536613,544231,553694,562733,572884,582154,592252,600917,610305,619405,630509,644201,656726,670192,681235,692407,699636,705641,709139,711727,711837,712010,712644,711508,711917,709303,709477,705785,704044,702836,710211,720593,730627,736800,739311,741489,742222,744226,743763,748810,756833,766931,765945,762408,763102,770057,777794,784034,793212,804073,820237,833062,843156,848999,859897,872894,883588,891574,901849,915206,927384,936199,942330,954047,966005,978775,989420,998833,1008130,1014441,1022705,1032284,1037871,1046626,1050630,1049231,1042308,1037687,1035906,1037582,1041353,1047219,1048590,1042991,1041018,1040432,1040775,1043321,1048505,1058800,1064737,1066490,1061849,1061970,1065468,1072090,1075689,1068774,1065106,1055070,1054328,1048076,1049272,1043133,1036660,1021294,1003747,984338,965708,950540,935151,923419,911353,898318,884782,877096,874362,868937,863210,862601,866709,879464,889797,900649,902236,903841,902536,900932,892498,892296,894617,895699,891901,877959,866811,854688,845758,838181,826477,818432,814999,813913,809993,807589,804603,806311,803783,808528,815275,823585,832180,841678,855381,865988,877782,884116,892189,900261,915821,922098,929580,936658,956701,974467,986680,997415,1006138,1014776,1021643,1032910,1044611,1055040,1060382,1065096,1067076,1063706,1061932,1063690,1068034,1076368,1089362,1097324,1095551,1103825,1122702,1144833,1149863,1161691,1177420,1193239,1209531,1226701,1237649,1253235,1275372,1292206,1294901,1292911,1304692,1314285,1310935,1305799,1305135,1313780,1330018,1342983,1354326,1357365,1362482,1367451,1380624,1388931,1419723,1448055,1482342,1490852,1502635,1510015,1521524,1533472,1559878,1585899,1600465,1612679,1612863,1616318,1608917,1604421,1594831,1582665,1587788,1589932,1587327,1576919,1574112,1577233,1581275,1586048,1596094,1617024,1640377,1670630,1688012,1712508
268491,South of Market,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2903258,2916596,2932028,2976377,2990524,3011608,3035311,3096148,3167193,3227366,3281506,3321361,3359001,3402392,3451416,3475067,3536888,3586423,3638280,3650569,3652496,3669556,3705910,3758033,3823644,3884924,3927099,3963479,4027704,4118351,4213651,4259081,4293970,4335386,4361063,4390071,4401257,4403066,4445118,4521457,4562591,4530058,4451193,4424874,4411143,4407003,4403254,4430862,4453323,4505786,4489935,4457385,4393427,4392778,4414595,4459700,4483090,4461323,4440820,4417329,4428050,4420330,4432297,4432067,4468656,4512178,4591733,4611422,4650958,4707754,4787711,4860393,4899357,4921898,4908741,4948520,5010810,5077122,5096622,5136545,5173758,5223360,5257145,5295850,5348681,5421596,5530271,5608111,5657878
268150,Excelsior,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,596,306797,304612,303853,303939,305649,307960,309827,310450,310666,311631,313146,315179,318568,323374,327576,331235,333043,334406,337117,342985,349833,355855,359928,364341,368195,371125,372359,373655,375682,378727,381592,383313,384722,386384,390143,394902,399805,405643,412707,419958,426721,431828,437140,441957,449255,457792,465689,472297,477156,484857,492704,501745,509415,519897,531646,547194,561657,576865,588978,599816,611852,618085,623085,625073,631228,636043,637926,633798,628337,622395,619874,619527,618139,621667,626659,635060,641542,646488,652484,661255,669474,674610,679712,685584,693696,696628,698867,698763,699718,701037,702586,705282,710247,723001,736672,750237,760890,773566,787067,801602,814770,830895,849456,868522,885576,895295,906192,910845,917776,923217,932282,942999,953550,960984,964871,963253,964054,965623,964829,966475,967968,974653,977533,976530,972352,968755,964946,964927,965066,967875,973491,976914,982718,980599,982427,979897,980783,976482,969980,963941,952224,938614,919011,911822,900305,893561,871295,855137,839056,831340,823861,813005,799081,785578,770085,751242,732248,717851,713766,711596,703218,693782,689383,689443,696600,701424,712095,716633,725255,728815,731359,723703,722982,718924,714931,709711,704382,699367,690307,685127,679251,670493,657842,652102,648032,647116,644567,641870,638073,635198,637555,637773,636661,637895,647105,661278,674414,686571,698335,706046,712037,721229,722957,730309,739906,761572,782483,796966,811611,822470,833522,847619,868603,886931,909560,929418,945564,948853,942800,940558,939572,943682,949719,959336,960510,962246,972409,986182,1003975,1011645,1029271,1050319,1067610,1076922,1076378,1073284,1081736,1094497,1103305,1104796,1102999,1112981,1111179,1100960,1089257,1095580,1114186,1133346,1139589,1137665,1133205,1133091,1135765,1141857,1154692,1176325,1200961,1216830,1222143,1236188,1255091,1275151,1284424,1293300,1297888,1298766,1312497,1330494,1348444,1358102,1367262,1375095,1371614,1376588,1379366,1385107,1390776,1399335,1395495,1385184,1373983,1370973,1371427,1368082,1372812,1371488,1377327
268385,Pacific Heights,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,604,1103799,1106870,1110530,1113181,1116980,1120937,1125078,1129642,1137628,1154615,1165746,1179509,1186389,1195151,1204696,1220163,1235764,1254498,1274138,1297957,1321478,1333748,1350087,1363151,1387912,1411354,1438062,1460716,1480645,1499562,1519631,1533038,1535600,1532857,1538901,1561196,1587485,1608867,1623282,1634787,1653471,1665244,1675992,1687695,1714894,1755069,1789983,1815925,1834427,1860877,1888817,1915029,1932585,1958648,1997613,2049764,2101779,2143548,2173789,2188058,2212561,2235597,2267671,2294389,2333596,2369276,2386650,2385388,2367493,2365432,2358811,2372294,2370792,2391328,2407383,2433553,2460270,2476499,2494748,2494671,2499640,2488756,2501102,2520344,2540979,2526939,2509052,2507032,2490881,2471990,2441075,2448073,2472868,2519114,2557087,2581089,2600828,2615739,2635911,2637038,2655213,2688222,2745146,2792366,2815025,2818905,2838449,2855292,2883235,2917381,2953194,2997889,3017068,3043503,3063203,3077724,3101631,3124575,3127304,3115848,3095981,3101148,3112442,3109796,3105195,3090251,3077738,3062362,3056493,3046020,3053629,3072162,3103129,3104627,3098724,3096053,3113790,3124611,3131903,3143907,3129413,3117373,3082864,3077686,3071341,3082758,3067494,3040872,3024157,3014006,2974177,2919875,2870287,2850562,2815760,2775521,2726157,2691365,2674399,2676417,2646631,2615869,2620467,2644345,2697650,2722440,2771682,2781244,2793267,2787454,2798594,2783732,2806692,2826391,2849547,2845282,2810145,2781458,2753434,2762123,2776193,2779618,2758741,2760196,2746697,2748851,2748285,2778689,2814170,2833397,2864282,2899389,2933798,2976491,3028497,3095749,3163810,3231838,3269167,3270888,3273432,3313124,3332322,3344345,3361234,3407997,3475990,3520547,3542407,3526273,3517160,3542312,3609333,3675103,3759981,3826459,3878215,3898272,3876408,3867311,3893405,3942960,4001454,4049770,4057584,4046424,4025809,4034126,4064954,4082205,4141561,4195405,4215006,4221365,4230099,4249501,4285559,4342594,4371986,4364096,4307108,4297528,4266430,4232198,4206553,4231985,4270286,4320366,4332020,4317020,4297754,4293326,4343482,4398860,4450407,4489029,4540078,4570690,4591742,4595362,4625333,4656104,4722297,4818472,4913592,4944431,5003712,5098537,5216200,5313334,5357857,5384747,5363166,5407400,5441818,5474327,5463406,5489450,5499127,5490466,5456149,5440127,5465908,5510180,5584231,5610724,5624721
268020,Bernal Heights,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,813,367730,361776,359510,358061,357953,356694,356201,355996,358167,362365,367688,373153,379873,386330,388264,390822,393680,402516,410541,418526,422208,425390,429852,436456,442910,447365,455319,462049,468069,469305,473876,479223,487334,493216,499264,505384,510851,517845,522097,529608,535940,541841,546370,556458,570506,584017,594584,607028,618319,629254,641311,659537,681612,706466,730895,748720,762553,775287,790962,801152,810025,811974,813402,805645,798452,794785,793129,796832,795695,799191,794649,794455,796168,810766,826550,840636,851629,854453,858259,855172,859516,857739,867510,875098,886547,889675,893517,902335,912950,923061,928146,934006,941674,958335,972765,988066,996011,1006527,1015779,1028649,1043170,1063752,1087000,1113029,1134339,1150701,1168284,1181893,1199985,1210942,1225378,1232751,1233470,1236928,1245941,1255048,1253731,1241752,1227012,1221050,1218159,1223126,1226220,1228864,1235157,1234505,1219786,1203642,1209566,1233358,1258045,1265392,1275712,1280130,1285783,1292825,1300866,1316881,1336615,1362903,1361576,1351303,1330815,1335185,1328405,1330479,1315504,1293992,1270271,1242871,1222341,1192779,1171990,1153596,1137301,1118414,1100869,1081793,1072380,1070655,1065695,1058637,1056705,1060736,1076345,1082945,1094769,1092689,1099340,1101149,1109355,1107573,1117883,1123332,1125000,1119155,1107029,1099880,1089021,1082533,1075133,1072161,1064325,1060693,1046688,1042354,1041554,1044989,1042657,1048374,1067880,1095676,1105729,1108739,1110578,1127808,1159644,1193562,1214700,1224064,1237995,1250186,1241455,1233059,1241870,1275169,1313107,1341087,1350607,1348029,1350853,1374217,1410228,1431097,1462946,1482786,1514264,1522322,1527871,1535621,1549323,1565587,1581491,1602957,1610038,1629301,1661888,1715372,1758839,1784383,1810866,1824615,1839059,1855890,1879755,1892396,1910975,1935390,1936651,1912566,1867665,1862227,1855385,1863796,1866813,1884232,1896035,1904585,1897717,1891646,1887311,1890235,1908560,1918887,1931816,1937791,1947898,1947735,1943059,1955211,1978620,1995237,2008787,2035358,2069545,2089672,2105107,2114045,2132549,2134519,2131293,2101149,2074260,2054127,2045613,2029525,2006515,1988210,1974350,1967690,1955389,1958127,1969186,1993944,2016535,2040367,2061284
268337,Nob Hill,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,937,,,,,,,,,,,,,,,,,,,,,,,,,885458,895803,906666,930397,952364,973909,988726,998059,1006220,1019879,1045171,1071607,1093126,1106677,1116760,1123719,1131356,1133985,1143413,1159889,1181004,1195073,1194464,1192490,1199425,1219519,1241769,1264962,1286171,1312028,1341699,1376958,1414192,1444502,1464243,1475532,1484938,1488988,1498812,1492774,1500219,1521680,1545720,1554383,1533321,1519661,1512299,1522655,1528904,1543219,1557007,1591012,1622215,1620414,1608795,1590566,1594955,1590982,1590540,1585488,1578254,1556307,1527378,1495800,1471242,1460869,1453620,1454203,1460508,1483008,1507653,1531003,1555085,1575746,1599553,1618575,1633437,1657641,1689287,1729150,1748092,1756299,1760471,1772097,1789475,1819303,1839684,1848851,1849741,1858035,1876350,1884779,1903380,1914538,1918522,1897724,1871077,1860311,1869206,1898535,1907015,1907242,1877541,1862934,1853365,1848823,1852320,1865097,1893126,1902803,1908332,1899330,1924028,1930323,1956149,1959846,1953552,1948994,1933671,1939444,1943049,1955592,1959934,1957218,1960319,1982357,1989061,1991131,1984897,1982775,1992729,1997220,1986696,1968244,1940388,1931115,1895331,1847166,1811677,1790008,1791649,1784967,1786892,1773240,1767510,1764975,1780982,1776761,1786155,1810316,1842456,1864636,1867938,1864531,1854756,1854843,1866892,1862539,1847392,1849270,1839525,1818495,1788368,1782010,1792410,1820470,1853643,1883819,1870401,1870434,1873169,1899115,1940941,1985183,2034193,2070387,2103479,2116329,2101460,2103132,2143250,2199151,2244946,2257303,2270446,2286282,2285109,2278449,2283076,2302607,2337604,2349770,2373560,2397324,2428356,2457827,2454399,2453360,2476876,2518827,2529861,2535027,2564973,2605185,2631948,2622246,2641488,2682781,2761451,2827567,2870751,2897143,2944037,2994966,3007056,3018262,3017744,3054586,3053550,3055916,3052416,3070305,3065168,3066301,3056325,3072445,3082423,3093399,3110016,3126020,3142149,3113399,3080419,3044556,3070930,3100648,3138024,3130514,3152799,3181735,3222522,3244713,3259884,3288581,3302917,3330403,3332910,3338384,3316817,3344681,3368183,3402607,3412862,3425015,3449575,3483915,3530066,3561466,3584237,3600769,3635838,3648594,3650999
