RegionID,RegionName,City,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
268384,Outer Sunset,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,180,327437,326833,326428,325710,325600,326159,328160,330719,333869,337075,340140,343186,347056,350700,354315,358771,364139,369494,372838,375589,378375,382323,386341,390429,394082,400388,407482,415864,421603,426716,431987,437353,441987,445508,449787,454642,459340,462789,466615,468756,472454,476193,482190,490407,499462,509117,518313,528223,539853,550326,561762,572791,585686,600042,615288,628765,642491,655740,667683,676225,682573,689079,693469,696869,695966,693814,687438,682170,675704,672086,668584,668304,668779,674137,680837,689068,698297,704422,711214,714642,719746,721108,726720,732484,738883,737301,735851,738652,744696,752524,759063,770826,782445,799293,811464,822613,831230,844339,857403,865751,872308,882282,896704,909102,919303,927932,941727,954233,966288,974653,981995,990070,995785,1002416,1006334,1006505,1010242,1009696,1003284,992126,987113,990135,996386,1001282,1005690,1005935,1007221,1011479,1014058,1015504,1022365,1035034,1045550,1046784,1045647,1043028,1044362,1045984,1046613,1046928,1039520,1034360,1023857,1017682,1009528,1006223,993330,979890,965071,957205,943736,927389,912974,901662,889364,875417,863134,855842,857005,862486,857714,843965,837704,837340,845577,849385,857570,861147,862272,858043,853051,841923,841571,845639,846849,842392,828887,821674,811620,801676,792954,779833,767429,755837,748053,742465,740102,739819,743411,743202,746211,754102,760949,772984,786411,810348,828589,842101,850668,858113,868728,882866,891257,899321,909638,929569,949440,960462,971207,981949,991047,1001562,1010931,1020409,1035651,1048528,1065029,1067610,1063929,1059976,1063221,1071938,1088038,1108160,1123646,1128262,1136970,1153971,1174550,1189788,1210302,1233997,1252492,1265415,1274473,1275707,1284539,1307143,1324516,1330988,1320783,1320179,1320492,1319743,1320968,1328437,1340035,1357441,1373674,1386921,1393769,1389857,1396532,1412698,1427997,1445783,1463041,1489121,1506865,1529366,1547802,1560790,1570646,1602371,1627074,1639222,1649604,1659409,1674369,1675061,1674685,1667208,1648862,1654930,1660433,1662868,1659937,1664812,1672311,1680390,1686108,1698464,1717293,1740056,1775783,1797970,1826847
274552,Mission,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,257,1076466,1074299,1076184,1074724,1075609,1071281,1067328,1056866,1051684,1054661,1070805,1084399,1090999,1099740,1102172,1110472,1115066,1127433,1142969,1166354,1190128,1205041,1217114,1234165,1252247,1263988,1280473,1297571,1319270,1343849,1365835,1399241,1421804,1438851,1436971,1423655,1416783,1409546,1409252,1412576,1419258,1427246,1431217,1422928,1409688,1401316,1393006,1403978,1416512,1457756,1492309,1536150,1572678,1600449,1636636,1672799,1716791,1757430,1804329,1838891,1860493,1831120,1806174,1766095,1738533,1704544,1661699,1640162,1625126,1620267,1609411,1602955,1595406,1615894,1633861,1649211,1658016,1674054,1688916,1688984,1678535,1673404,1668657,1666766,1672188,1667550,1662375,1669405,1677395,1688444,1700513,1703338,1712314,1705055,1722522,1727596,1741167,1745591,1752575,1746788,1757462,1767507,1795673,1822102,1855439,1899454,1937134,1964670,1978797,1998907,2025501,2062275,2077261,2095891,2097680,2123139,2134593,2138189,2119067,2118595,2124671,2146233,2162217,2176637,2181591,2194128,2196510,2193567,2192637,2202968,2234850,2259222,2283422,2286777,2283140,2290021,2314792,2327535,2345145,2368869,2394257,2403855,2370281,2351982,2316689,2308625,2304573,2291633,2288748,2272166,2268107,2256403,2246679,2251790,2266575,2291645,2343197,2378184,2411379,2424216,2430816,2436133,2445972,2444089,2443952,2425372,2437228,2430565,2413377,2389805,2354939,2331222,2303578,2288621,2249915,2194047,2130618,2085219,2043763,2004271,1961908,1912448,1867491,1828832,1792241,1776356,1795716,1825342,1848839,1848406,1853274,1853840,1854115,1875007,1908512,1947307,1985273,1991187,1963132,1932928,1932359,1961637,1963617,1971852,1981657,2002481,2024885,2044186,2067516,2085641,2111346,2159941,2214131,2258911,2304981,2336062,2368143,2372542,2355985,2343361,2325490,2345848,2372173,2404412,2404073,2400247,2416743,2450778,2494397,2523545,2569240,2606030,2633448,2644558,2643352,2633250,2633048,2637660,2647526,2643783,2628497,2633095,2630536,2639197,2650114,2680998,2715974,2756524,2777205,2811533,2821249,2858563,2885072,2941348,2984812,3008802,3022867,2997633,2967611,2919740,2917307,2922674,2941689,2937343,2947153,2918752,2922541,2945008,3010137,3058742,3116496,3169215,3205987,3200668,3175396,3161061,3153755,3169253,3168825,3165082,3137621,3144065,3150921,3174400,3196170,3248063,3318898
268383,Outer Richmond,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,386,498629,490907,485907,485940,486901,485059,484641,487250,491824,497945,504572,511684,521797,530224,537051,538091,541007,551242,560431,565959,568203,570843,577568,581201,588313,597017,606052,618803,627701,634995,640813,650583,663581,674835,684755,696173,705577,712635,719331,721112,729390,736902,754638,767108,783040,799155,816621,832902,847849,864351,883472,906019,922755,941116,954823,977037,997101,1013209,1021706,1028593,1041275,1053841,1061346,1061366,1062287,1064877,1061973,1053411,1040838,1041184,1045592,1053129,1051652,1058620,1066320,1080260,1092967,1100333,1113642,1124103,1133781,1129731,1125569,1124587,1130651,1125650,1123749,1124886,1129227,1130545,1122920,1124533,1135958,1160232,1187532,1212446,1231224,1248278,1263147,1272579,1280967,1297073,1321734,1346352,1368151,1383899,1396247,1390414,1390504,1390326,1397791,1412760,1431540,1452797,1472592,1471281,1450996,1421087,1397602,1402799,1409305,1437981,1457946,1463754,1450441,1435362,1421392,1425655,1450648,1480807,1505431,1510720,1517624,1497317,1477928,1465071,1474181,1480065,1485153,1494471,1491274,1479600,1466899,1466428,1464649,1463654,1461738,1458418,1456143,1458264,1448918,1418387,1382983,1365937,1352709,1334901,1314374,1312502,1320127,1326087,1308985,1275584,1256298,1249863,1263233,1273664,1284217,1293252,1296754,1294096,1282128,1263306,1259555,1265906,1273351,1278657,1269829,1257717,1238870,1220838,1211336,1187463,1163066,1146629,1148837,1160274,1175330,1190603,1201598,1201638,1208196,1220077,1227372,1244640,1266517,1307545,1329900,1349738,1353248,1354145,1361228,1378574,1387774,1394856,1402552,1428894,1459248,1471780,1477024,1468452,1458892,1459849,1470759,1489737,1515114,1542932,1577064,1594596,1599865,1605177,1625885,1658624,1700197,1727475,1750286,1769679,1804107,1832351,1863044,1867028,1889838,1913685,1929144,1931370,1930866,1947813,1962153,1977336,1982829,1991301,1976774,1991412,1988038,1987770,1972625,1978270,1988470,1997931,1998000,1989221,1971016,1946956,1944285,1957350,1973097,1980138,2007690,2044579,2092095,2124889,2168768,2204907,2254429,2308898,2368798,2380291,2400039,2422129,2463027,2463324,2431493,2402598,2371481,2387773,2388505,2397452,2377674,2384640,2386798,2390788,2371959,2373174,2390422,2412884,2433405,2423529,2420778
268219,Inner Richmond,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,460,622132,620969,618698,617341,614763,611129,607296,606666,606679,610855,616426,620850,622784,620655,622060,624240,632613,644834,657256,665359,670031,669614,670791,676701,685618,701213,712634,722248,723477,723817,730314,740642,757571,770888,785516,787674,790724,787966,795079,803500,818732,831992,834475,832047,830897,841430,856751,876325,899184,922915,944346,968661,995895,1016679,1042658,1071212,1097160,1117589,1128807,1140864,1145873,1143353,1138751,1127269,1105377,1095996,1089144,1091122,1086672,1081009,1074614,1069961,1067423,1076821,1090630,1103561,1117086,1122342,1129581,1131780,1135590,1129998,1119918,1104349,1089724,1076399,1065294,1066110,1080406,1095364,1108153,1115617,1122369,1135793,1151415,1171050,1190326,1201235,1208081,1209843,1206169,1200739,1189088,1183537,1189575,1207814,1236760,1261064,1284599,1313127,1335924,1349806,1346478,1359362,1381694,1408345,1424248,1428866,1418006,1409439,1402376,1403031,1406122,1405995,1408886,1394509,1385274,1370335,1366090,1359435,1367108,1366923,1373008,1360730,1365553,1375243,1397514,1415528,1426630,1448113,1447439,1436093,1417442,1423915,1427256,1432963,1407233,1390013,1381606,1391378,1384951,1359668,1348156,1357390,1361870,1347080,1328458,1319001,1330444,1335481,1324047,1299446,1289699,1284488,1276875,1267245,1264456,1266659,1262160,1259781,1252828,1245712,1243001,1236240,1231974,1226039,1222005,1208658,1195378,1192617,1197118,1197512,1184351,1172066,1158723,1157917,1161823,1173575,1181481,1191153,1203509,1210606,1216568,1213311,1222371,1231053,1243302,1256314,1266220,1275430,1285091,1295418,1298796,1301981,1306669,1329687,1355960,1387322,1422167,1447955,1460010,1460237,1465247,1474993,1484846,1492486,1509296,1528073,1539186,1547163,1541226,1536657,1533479,1557814,1590662,1635852,1686519,1728000,1758608,1764568,1784432,1805012,1847429,1899417,1971652,2018172,2062753,2080878,2112247,2143922,2170263,2203716,2223802,2244148,2241552,2235278,2224426,2226958,2218296,2225238,2213103,2213169,2227304,2276418,2318800,2351847,2394429,2451886,2497492,2541536,2587753,2628474,2666797,2718898,2758479,2762390,2780915,2835897,2893790,2925773,2947889,2979359,2991184,3022750,3056468,3087439,3112087,3142770,3166566,3165279,3159064,3165643,3185973,3195330,3219447,3223812,3229148
268396,Parkside,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,514,434797,435045,435507,436330,436815,438178,440934,443670,447590,451404,455449,458670,463629,468141,473575,478803,485311,492155,497381,503112,506803,512358,516063,522964,528709,535023,539500,544854,549895,554228,558671,563892,570374,575080,583060,589773,597187,603349,612745,622518,632528,640075,648824,657960,668838,680285,691590,702654,714399,725059,735190,744463,758475,775663,795211,808442,821387,832959,843199,851415,854699,858943,859929,861303,853828,847552,837645,837754,833965,834170,830486,827893,828873,837628,852503,864993,876561,882573,889499,888901,890228,887019,893590,902497,912185,909349,901576,900358,906161,914092,919789,931157,945526,966184,980561,993081,1001602,1015576,1032440,1044916,1054787,1067859,1085910,1102728,1112839,1120537,1133236,1145907,1158845,1171692,1182121,1189738,1194538,1201217,1209981,1211335,1222607,1229239,1231046,1224372,1221084,1219926,1222426,1235101,1245642,1249226,1240194,1242525,1243427,1245424,1249740,1260771,1276639,1284498,1290470,1282359,1284812,1292327,1306126,1312778,1305527,1301764,1292330,1289194,1281352,1281619,1271232,1261032,1242766,1230727,1215547,1197956,1182153,1162917,1144213,1123914,1105485,1093102,1090062,1093713,1088416,1070459,1060879,1055527,1060560,1066140,1078048,1087075,1086870,1079815,1070725,1057375,1056577,1061445,1062140,1058005,1044609,1036096,1020984,1003600,994864,980933,969233,954297,941585,930956,923212,920384,921442,918840,923086,934057,945952,961726,978697,1004863,1027131,1044736,1057412,1065521,1076889,1087688,1095567,1099795,1102842,1111350,1120764,1130407,1143460,1158331,1170119,1183124,1195703,1209950,1221829,1232169,1246931,1259369,1263745,1265225,1267274,1267523,1273019,1279298,1283531,1282705,1285435,1301010,1313674,1318773,1326598,1335126,1338220,1346110,1355805,1367592,1385678,1409514,1431020,1430368,1423266,1420603,1420755,1414962,1413880,1416494,1428064,1444916,1457975,1466005,1466832,1470245,1477652,1492912,1503978,1528402,1551013,1585274,1598057,1613471,1619481,1632248,1644716,1678061,1703481,1717363,1727841,1729956,1737101,1729238,1718096,1697179,1671985,1676567,1683961,1684118,1679195,1680948,1688684,1698388,1706044,1719534,1746760,1781381,1827800,1852037,1879630
268491,South of Market,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3523035,3559662,3576755,3619162,3652987,3677636,3708182,3718900,3740666,3745880,3754630,3757155,3754825,3724371,3712306,3706422,3721023,3744158,3739990,3768053,3766970,3793547,3802549,3815144,3829824,3879832,3909856,3905925,3850478,3793578,3767634,3731635,3707589,3671180,3645166,3620347,3597080,3560496,3533189,3524220,3541776,3561542
268150,Excelsior,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,595,330352,327105,325978,326469,328265,330204,332553,334673,336005,337590,338233,340951,345689,352004,357074,360774,363354,365447,367358,371036,376234,381772,386327,389441,392448,395019,395558,396005,395820,398638,401538,403973,405832,407594,411136,415944,420525,425664,431518,437072,444845,449064,454467,457209,463993,470682,478477,484936,491564,501465,512946,524492,532368,543829,557371,577424,593973,613121,626432,640057,651965,659161,665261,670374,680591,687241,689677,683615,676950,670038,667768,665600,663798,665329,668970,675659,681091,687820,694097,704008,714424,720876,728659,736886,747700,751997,753341,752581,752406,752286,753437,756629,762509,776767,790843,805750,817065,832632,850169,868219,884473,902346,923739,944893,962780,973466,986391,993697,1002759,1010190,1021134,1033940,1045439,1054701,1060433,1059997,1062631,1064333,1062389,1061951,1061660,1068473,1070742,1069545,1066336,1065258,1063215,1065494,1068206,1074569,1083526,1089905,1101259,1101186,1101726,1096267,1095435,1092364,1086197,1080857,1067839,1053126,1033094,1028449,1015820,1008833,992625,985354,975870,964876,955119,943885,930973,917170,899593,876131,854873,839408,833410,827620,816316,809368,808253,810469,819182,827022,841329,850203,862276,868430,872242,863581,862377,856626,850470,840566,832255,822035,809429,799840,791521,780495,765590,758326,752987,750356,747405,744863,742038,740972,745963,746976,747717,749856,760758,776878,791979,808008,820510,828845,831590,839324,836799,843330,848380,867268,885760,899973,916351,927277,940260,957478,983976,1008009,1035287,1058486,1073946,1073574,1061465,1056296,1054682,1061860,1070530,1079277,1077261,1072590,1080978,1095621,1117840,1130153,1154206,1183249,1199906,1204785,1195562,1189792,1195085,1206132,1213139,1212347,1214671,1231443,1232079,1212083,1190209,1182453,1193827,1207034,1216689,1220271,1216570,1212004,1203184,1202672,1215074,1240517,1270322,1294499,1309872,1329861,1351146,1368220,1375432,1381705,1389626,1386024,1398542,1419387,1444363,1462672,1469985,1478373,1467806,1473563,1476339,1487021,1493458,1506647,1501587,1487083,1467828,1455748,1452615,1445552,1451550,1447381,1450775
268385,Pacific Heights,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,603,1950761,1953463,1959633,1965009,1973214,1985183,1994032,2012875,2028709,2042437,2042615,2052339,2063150,2089122,2111359,2141114,2161129,2179975,2204842,2226135,2256304,2303735,2372943,2433168,2475959,2511739,2547189,2587169,2633927,2686073,2737129,2768672,2795506,2801332,2815260,2833230,2886564,2908870,2942184,2938824,2972405,2984366,3012768,3050592,3094492,3139517,3167066,3206119,3232134,3292508,3350025,3443266,3494625,3566042,3625477,3700445,3777138,3846075,3906635,3917885,3950736,3974948,4020362,4037920,4080388,4119325,4138504,4141323,4115071,4127417,4118737,4171098,4186537,4239292,4264582,4303744,4348815,4372128,4409369,4416845,4435514,4426155,4470322,4506647,4540301,4512082,4496754,4504711,4478096,4446193,4404213,4422088,4474316,4546077,4593160,4620662,4656183,4693363,4728820,4746989,4796732,4875572,4975371,5056203,5101407,5115575,5161992,5198091,5253899,5303126,5350756,5393407,5409342,5438086,5476965,5502711,5544880,5574433,5557661,5519598,5464283,5479847,5509668,5543298,5556898,5553317,5530995,5501406,5475257,5457183,5484300,5545310,5623923,5639372,5643595,5648704,5687841,5694855,5664754,5663538,5631886,5629517,5568741,5505343,5442586,5409355,5354693,5272127,5191887,5151392,5123595,5075190,5051057,5040120,5029215,5024961,4978005,4926364,4859866,4823329,4764569,4702447,4685795,4693842,4703322,4677766,4650252,4602479,4578493,4559178,4592846,4587699,4637158,4666030,4684172,4619830,4536703,4476276,4482971,4520933,4568656,4594210,4572114,4588759,4572553,4603083,4621458,4722415,4813820,4864467,4897233,4940798,4996178,5054611,5147151,5264108,5394925,5511800,5627016,5684157,5742887,5833882,5889765,5942457,5994277,6107747,6227237,6306036,6333584,6313908,6297701,6338596,6464042,6563792,6679786,6742484,6796699,6811627,6773574,6758724,6810092,6879112,6959077,7027000,7051861,7121770,7203491,7320767,7426253,7457016,7570092,7678454,7729771,7766812,7767399,7774752,7779591,7822482,7825396,7788548,7689711,7707938,7680212,7632684,7565861,7577831,7623091,7709933,7774961,7780458,7760769,7738016,7816048,7947006,8050949,8146337,8261644,8346669,8416034,8447141,8447355,8455139,8526813,8711164,8902773,8913930,9005570,9135056,9336656,9466758,9504590,9510441,9487221,9553994,9613626,9647880,9613558,9654861,9659822,9653044,9591439,9591440,9666066,9777330,9934270,10033304,10112533
268020,Bernal Heights,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,808,389729,385211,382180,377856,376394,375161,375512,375338,377081,380187,385490,390896,396248,401456,404161,408458,410910,417831,424046,431220,437431,443128,448988,454659,457841,461053,469000,479998,490712,494125,498244,504290,509350,514082,517994,525706,533603,543227,551894,562611,570910,583890,594843,608897,623750,638707,652915,667168,682690,698630,715365,734806,760932,783020,806139,820569,835255,850851,867443,878569,880710,869793,857083,844660,835752,828557,818268,818659,820930,823438,818935,816814,822873,841206,861420,873540,881826,886323,891920,887776,885346,882691,890022,896212,903698,908423,911614,918408,921645,925615,930878,937264,943414,956261,968902,984624,992208,1001905,1012558,1028530,1046378,1066071,1086023,1110451,1132459,1152003,1171346,1181037,1194911,1199804,1213846,1218851,1220115,1227661,1236281,1249121,1248696,1235143,1217148,1213222,1216303,1223232,1216542,1215072,1219529,1220695,1213903,1198290,1206639,1227190,1255896,1267796,1280432,1291019,1307901,1326332,1346300,1366363,1386440,1416779,1426301,1430297,1411033,1413248,1407612,1417012,1409850,1392656,1366836,1343456,1323586,1293046,1263017,1239927,1227726,1213111,1198722,1172187,1160067,1154662,1151457,1140368,1141163,1148984,1167234,1170033,1178870,1176250,1179537,1183568,1187673,1180752,1182929,1184498,1177930,1163284,1143603,1140664,1130939,1124733,1111662,1101206,1085297,1075872,1053105,1042355,1037629,1041663,1041867,1035870,1039980,1051626,1058005,1062365,1070116,1091973,1124557,1154102,1173225,1181744,1193381,1207725,1209892,1209813,1223000,1251895,1280351,1302415,1327697,1351333,1368675,1391442,1426753,1454851,1487260,1510686,1540036,1550086,1558777,1567059,1568627,1561932,1566357,1587751,1596788,1613332,1645175,1695552,1738057,1770111,1807378,1823107,1832849,1847827,1875880,1893523,1920345,1956215,1968098,1951731,1913442,1906407,1900066,1915478,1933667,1961461,1975414,1988237,1985845,1982026,1977509,1988546,2022240,2046745,2069867,2079350,2088198,2090665,2095639,2108009,2125285,2134356,2147441,2166846,2192299,2209807,2225989,2259014,2314779,2353846,2366998,2348733,2330575,2312881,2302918,2292345,2272914,2255970,2242884,2223209,2190077,2171989,2176523,2202150,2230543,2265232,2296205
268337,Nob Hill,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5325541,5308726,5317060,5312696,5337006,5329270,5328328,5271579,5242788,5195847,5200486,5211323,5220704,5224092,5166653,5151528,5106938,5121953,5084598,5087489,5051603,5042830,5001446,4963776,4981473,5026672,5128447,5147631,5165100,5145104,5186782,5269387,5352673,5467072,5523977,5576883,5514234,5437563,5368270,5361133,5326017,5316999,5339881,5396621,5467663,5443620,5431482,5379262,5386300,5402141,5418038,5460742,5568308,5660939,5674850,5631422,5583224,5620382,5615695,5652689,5673921,5732097,5772011,5815994,5862424,5920269,5983579,6021108,6082125,6125075,6213215,6288801,6388576,6475690,6579083,6559949,6474203,6302808,6204357,6176430,6175842,6210062,6237440,6241886,6179133,6127246,6031748,6046564,6026953,6126249,6179796,6268265,6278837,6199287,6119257,6072896,6102941,6094085,6152811,6219000,6393860,6509369,6650427,6738288,6848693,6935746,6946060,7000957,7073496,7218628,7246952,7298012,7285278,7337908,7324526,7315102,7318999,7378982,7492203,7547532,7552093,7510919,7526576,7491850,7450700
