Month of Period End,Region,Avg. Median Sale Price,Avg. Median Ppsf
Feb-12,"San Francisco, CA - Western South of Market",$522K,514.7540984
Mar-12,"San Francisco, CA - Western South of Market",$519K,496.0554931
Apr-12,"San Francisco, CA - Western South of Market",$530K,508.4507042
May-12,"San Francisco, CA - Western South of Market",$540K,530.2325581
Jun-12,"San Francisco, CA - Western South of Market",$590K,532.2981146
Jul-12,"San Francisco, CA - Western South of Market",$650K,535.4200988
Aug-12,"San Francisco, CA - Western South of Market",$670K,533.1400791
Sep-12,"San Francisco, CA - Western South of Market",$699K,555.5004173
Oct-12,"San Francisco, CA - Western South of Market",$771K,587.1615202
Nov-12,"San Francisco, CA - Western South of Market",$725K,590.7310705
Dec-12,"San Francisco, CA - Western South of Market",$725K,590
Jan-13,"San Francisco, CA - Western South of Market",$629K,590.7310705
Feb-13,"San Francisco, CA - Western South of Market",$650K,609.3916756
Mar-13,"San Francisco, CA - Western South of Market",$680K,652.626506
Apr-13,"San Francisco, CA - Western South of Market",$741K,650.0294657
May-13,"San Francisco, CA - Western South of Market",$759K,649.4565217
Jun-13,"San Francisco, CA - Western South of Market",$761K,654.7155105
Jul-13,"San Francisco, CA - Western South of Market",$733K,680.9701493
Aug-13,"San Francisco, CA - Western South of Market",$723K,705.0908667
Sep-13,"San Francisco, CA - Western South of Market",$709K,716.9597827
Oct-13,"San Francisco, CA - Western South of Market",$750K,725.0161219
Nov-13,"San Francisco, CA - Western South of Market",$740K,719.650167
Dec-13,"San Francisco, CA - Western South of Market",$780K,739.2014962
Jan-14,"San Francisco, CA - Western South of Market",$742K,748.116254
Feb-14,"San Francisco, CA - Western South of Market",$750K,763.253012
Mar-14,"San Francisco, CA - Western South of Market",$871K,727.3513373
Apr-14,"San Francisco, CA - Western South of Market",$840K,776.7241379
May-14,"San Francisco, CA - Western South of Market",$840K,788.4393064
Jun-14,"San Francisco, CA - Western South of Market",$790K,797.4137931
Jul-14,"San Francisco, CA - Western South of Market",$805K,789.0752488
Aug-14,"San Francisco, CA - Western South of Market",$807K,798.8980716
Sep-14,"San Francisco, CA - Western South of Market",$807K,775.4800591
Oct-14,"San Francisco, CA - Western South of Market",$863K,761.1778909
Nov-14,"San Francisco, CA - Western South of Market",$875K,753.5641548
Dec-14,"San Francisco, CA - Western South of Market",$930K,817.679558
Jan-15,"San Francisco, CA - Western South of Market",$925K,852.7607362
Feb-15,"San Francisco, CA - Western South of Market",$945K,837.0129595
Mar-15,"San Francisco, CA - Western South of Market",$970K,848.719477
Apr-15,"San Francisco, CA - Western South of Market",$970K,855.2479815
May-15,"San Francisco, CA - Western South of Market",$970K,872.0690817
Jun-15,"San Francisco, CA - Western South of Market",$979K,874.3396226
Jul-15,"San Francisco, CA - Western South of Market",$960K,881.9018405
Aug-15,"San Francisco, CA - Western South of Market",$950K,937.7970936
Sep-15,"San Francisco, CA - Western South of Market",$886K,942.8669659
Oct-15,"San Francisco, CA - Western South of Market",$919K,936.7922916
Nov-15,"San Francisco, CA - Western South of Market",$905K,895.8289881
Dec-15,"San Francisco, CA - Western South of Market",$900K,846.9162996
Jan-16,"San Francisco, CA - Western South of Market",$875K,870.6896552
Feb-16,"San Francisco, CA - Western South of Market",$895K,861.8421053
Mar-16,"San Francisco, CA - Western South of Market",$853K,"1,015.52"
Apr-16,"San Francisco, CA - Western South of Market",$850K,940.9331493
May-16,"San Francisco, CA - Western South of Market",$840K,925.0317662
Jun-16,"San Francisco, CA - Western South of Market",$883K,956.8345324
Jul-16,"San Francisco, CA - Western South of Market",$925K,942.408377
Aug-16,"San Francisco, CA - Western South of Market",$925K,917.215428
Sep-16,"San Francisco, CA - Western South of Market",$900K,910.0101112
Oct-16,"San Francisco, CA - Western South of Market",$899K,872.3599633
Nov-16,"San Francisco, CA - Western South of Market",$906K,826.6879841
Dec-16,"San Francisco, CA - Western South of Market",$899K,770.6668443
Jan-17,"San Francisco, CA - Western South of Market",$875K,797.4481659
Feb-17,"San Francisco, CA - Western South of Market",$873K,803.0020704
Mar-17,"San Francisco, CA - Western South of Market",$875K,851.1210762
Apr-17,"San Francisco, CA - Western South of Market",$905K,904.8316252
May-17,"San Francisco, CA - Western South of Market",$950K,874.0243637
Jun-17,"San Francisco, CA - Western South of Market","$1,111K",885.9451631
Jul-17,"San Francisco, CA - Western South of Market","$1,072K",894.5
Aug-17,"San Francisco, CA - Western South of Market","$1,000K",896.7280164
Sep-17,"San Francisco, CA - Western South of Market",$903K,961.0341957
Oct-17,"San Francisco, CA - Western South of Market",$950K,907.6165475
Nov-17,"San Francisco, CA - Western South of Market","$1,000K",863.6363636
Dec-17,"San Francisco, CA - Western South of Market","$1,093K",838.7096774
Jan-18,"San Francisco, CA - Western South of Market",$983K,795.6145144
Feb-18,"San Francisco, CA - Western South of Market",$939K,857.7586207
Mar-18,"San Francisco, CA - Western South of Market",$887K,975.1357454
Apr-18,"San Francisco, CA - Western South of Market",$913K,"1,038.06"
May-18,"San Francisco, CA - Western South of Market",$926K,"1,066.76"
Jun-18,"San Francisco, CA - Western South of Market",$924K,"1,067.18"
Jul-18,"San Francisco, CA - Western South of Market",$924K,"1,090.32"
Aug-18,"San Francisco, CA - Western South of Market",$924K,"1,098.04"
Sep-18,"San Francisco, CA - Western South of Market",$874K,"1,109.86"
Oct-18,"San Francisco, CA - Western South of Market",$895K,"1,089.11"
Nov-18,"San Francisco, CA - Western South of Market",$874K,"1,078.77"
Dec-18,"San Francisco, CA - Western South of Market",$950K,915.0427936
Jan-19,"San Francisco, CA - Western South of Market",$935K,931.3154831
Feb-19,"San Francisco, CA - Western South of Market",$982K,939.9224806
Mar-19,"San Francisco, CA - Western South of Market",$970K,963.3027523
Apr-19,"San Francisco, CA - Western South of Market","$1,015K",974.7948361
May-19,"San Francisco, CA - Western South of Market","$1,005K","1,062.87"
Jun-19,"San Francisco, CA - Western South of Market","$1,050K","1,122.46"
Jul-19,"San Francisco, CA - Western South of Market","$1,100K","1,144.37"
Aug-19,"San Francisco, CA - Western South of Market","$1,121K","1,062.24"
Sep-19,"San Francisco, CA - Western South of Market","$1,101K","1,066.58"
Oct-19,"San Francisco, CA - Western South of Market",$980K,"1,025.06"
Nov-19,"San Francisco, CA - Western South of Market","$1,010K",986.5470852
Dec-19,"San Francisco, CA - Western South of Market","$1,035K",982.052136
Jan-20,"San Francisco, CA - Western South of Market","$1,152K",981.4453125
Feb-20,"San Francisco, CA - Western South of Market","$1,276K",991.4037408
Feb-12,"San Francisco, CA - Western Addition",$650K,528.6343612
Mar-12,"San Francisco, CA - Western Addition",$630K,549.6745583
Apr-12,"San Francisco, CA - Western Addition",$668K,566.0954493
May-12,"San Francisco, CA - Western Addition",$649K,543.2476864
Jun-12,"San Francisco, CA - Western Addition",$649K,500
Jul-12,"San Francisco, CA - Western Addition",$655K,442.6285325
Aug-12,"San Francisco, CA - Western Addition",$610K,394.3518809
Sep-12,"San Francisco, CA - Western Addition",$438K,336.9905956
Oct-12,"San Francisco, CA - Western Addition",$361K,342.0667264
Nov-12,"San Francisco, CA - Western Addition",$420K,366.0714286
Dec-12,"San Francisco, CA - Western Addition",$595K,384.8998459
Jan-13,"San Francisco, CA - Western Addition",$750K,397.2303207
Feb-13,"San Francisco, CA - Western Addition",$750K,397.2303207
Mar-13,"San Francisco, CA - Western Addition",$683K,539.321533
Apr-13,"San Francisco, CA - Western Addition",$760K,646.1594203
May-13,"San Francisco, CA - Western Addition",$823K,662.3188406
Jun-13,"San Francisco, CA - Western Addition",$805K,762.2868606
Jul-13,"San Francisco, CA - Western Addition",$705K,749.7565725
Aug-13,"San Francisco, CA - Western Addition",$695K,643.3394161
Sep-13,"San Francisco, CA - Western Addition",$739K,637.5441033
Oct-13,"San Francisco, CA - Western Addition",$779K,714.4
Nov-13,"San Francisco, CA - Western Addition",$825K,772.5806452
Dec-13,"San Francisco, CA - Western Addition",$790K,783.6990596
Jan-14,"San Francisco, CA - Western Addition",$685K,816.2031439
Feb-14,"San Francisco, CA - Western Addition",$675K,799.9511017
Mar-14,"San Francisco, CA - Western Addition",$875K,625.191518
Apr-14,"San Francisco, CA - Western Addition",$953K,625.191518
May-14,"San Francisco, CA - Western Addition",$898K,579.9256506
Jun-14,"San Francisco, CA - Western Addition",$925K,771.8120805
Jul-14,"San Francisco, CA - Western Addition",$805K,735.1263244
Aug-14,"San Francisco, CA - Western Addition",$950K,777.8658393
Sep-14,"San Francisco, CA - Western Addition",$927K,783.8994033
Oct-14,"San Francisco, CA - Western Addition",$954K,869.5652174
Nov-14,"San Francisco, CA - Western Addition",$922K,869.5652174
Dec-14,"San Francisco, CA - Western Addition","$1,050K",870.91389
Jan-15,"San Francisco, CA - Western Addition","$1,250K",731.5297275
Feb-15,"San Francisco, CA - Western Addition","$1,003K",611.6452991
Mar-15,"San Francisco, CA - Western Addition",$939K,742.6853707
Apr-15,"San Francisco, CA - Western Addition","$1,003K",604.9730838
May-15,"San Francisco, CA - Western Addition","$1,100K",756.5789474
Jun-15,"San Francisco, CA - Western Addition","$1,290K",848.003435
Jul-15,"San Francisco, CA - Western Addition","$1,095K",878.7878788
Aug-15,"San Francisco, CA - Western Addition","$1,160K",911.7283951
Sep-15,"San Francisco, CA - Western Addition","$1,073K",903.2258065
Oct-15,"San Francisco, CA - Western Addition","$1,200K",784.5308957
Nov-15,"San Francisco, CA - Western Addition","$1,200K",659.1103226
Dec-15,"San Francisco, CA - Western Addition","$1,150K",726.0726073
Jan-16,"San Francisco, CA - Western Addition","$1,150K",737.1007371
Feb-16,"San Francisco, CA - Western Addition","$1,200K",663.8558201
Mar-16,"San Francisco, CA - Western Addition","$1,200K",663.8558201
Apr-16,"San Francisco, CA - Western Addition","$1,200K",609.5238095
May-16,"San Francisco, CA - Western Addition","$1,109K",695.2271734
Jun-16,"San Francisco, CA - Western Addition",$745K,730.8633734
