City,last_updated,Measure Display,parent_metro_region,Period Begin,Period End,Property Type,Region,Region Type,Seasonally Adjusted,State,State Code,Table Id,Worksheet Filter,active_listings,active_listings_mom,active_listings_yoy,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Number of Records,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region_metro_code,pending_sales,pending_sales_mom,pending_sales_yoy,Period Duration,Price Drops,Price Drops Mom,Price Drops Yoy,property_type_id,region_type_id,Sold Above List,Sold Above List Mom,Sold Above List Yoy
San Francisco,4/5/2020 14:45,,"San Francisco, CA",1/1/2012,3/31/2012,All Residential,"San Francisco, CA - Southwest San Francisco",Neighborhood,FALSE,California,CA,116213,Value,798,0.108333333,-0.27388535,1.007185803,0.80%,1.30%,420,0.00%,-5.00%,278,-0.40%,-44.00%,34,-10,-7,473.7561701,0.034268987,-0.020871772,"769,450",0.061310345,0.100786838,475.2706478,0.040291976,0.024408808,$729K,7.20%,10.50%,,,,572,35.90%,-18.90%,1,0.565,-0.02875,0.143651685,"41,884",200,0.5625,0.123595506,90,,,,-1,1,0.414285714,0.05,0.039567881
San Francisco,4/5/2020 14:45,,"San Francisco, CA",2/1/2012,4/30/2012,All Residential,"San Francisco, CA - Bernal Heights",Neighborhood,FALSE,California,CA,202,Value,97,0.077777778,-0.344594595,1.021358302,2.00%,1.30%,55,3.80%,7.80%,33,-10.80%,-44.10%,21,-14.5,-8,512.8266033,0.049041294,0.037031137,"694,000",-0.007153076,0.022091311,498.9266603,0.062908192,-0.03910421,$691K,4.70%,-7.90%,,,,66,-5.70%,-32.70%,1,0.571428571,0.045112782,0.192118227,"41,884",21,0.105263158,-0.275862069,90,,,,-1,1,0.418181818,0.097427101,0.006417112
San Francisco,4/5/2020 14:45,,"San Francisco, CA",2/1/2012,4/30/2012,All Residential,"San Francisco, CA - Excelsior",Neighborhood,FALSE,California,CA,918,Value,47,0.02173913,-0.241935484,0.989785036,-1.10%,-0.60%,21,10.50%,-12.50%,22,0.00%,-33.30%,50,0,6.5,344.0380152,0.026306504,-0.036693558,"477,500",0.061346966,0.018366859,365.0980392,0.044667904,0.009767515,$450K,0.00%,-4.90%,,,,28,-9.70%,-9.70%,1,0.4,0,0,"41,884",5,0,0,90,,,,-1,1,0.428571429,-0.045112782,0.011904762
San Francisco,4/5/2020 14:45,,"San Francisco, CA",3/1/2012,5/31/2012,All Residential,"San Francisco, CA - Corona Heights",Neighborhood,FALSE,California,CA,605,Value,8,0.333333333,-0.529411765,1.080255732,0.30%,7.60%,3,-40.00%,-76.90%,1,-50.00%,-85.70%,8,0,-6,550.8550274,-0.108084635,-0.187427436,"879,000",0.065454545,-0.053821313,646.6321244,0,-0.084840941,$900K,-14.30%,8.20%,,,,9,28.60%,-40.00%,1,0.75,0.416666667,0.75,"41,884",4,0.333333333,3,90,,,,-1,1,0.666666667,-0.133333333,0.128205128
San Francisco,4/5/2020 14:45,,"San Francisco, CA",7/1/2012,9/30/2012,All Residential,"San Francisco, CA - Outer Richmond",Neighborhood,FALSE,California,CA,439,Value,83,0,-0.231481481,1.010174088,-2.30%,1.20%,36,-26.50%,2.90%,33,-8.30%,-49.20%,22.5,2.5,-16,419.8198198,0,-0.058205515,"788,000",-0.037733545,0.111424542,433.9897885,-0.042326086,0.178595978,$838K,7.40%,10.30%,,,,53,20.50%,-8.60%,1,0.5,0.227272727,0.1,"41,884",20,0.818181818,1,90,,,,-1,1,0.472222222,-0.037981859,0.157936508
San Francisco,4/5/2020 14:45,,"San Francisco, CA",9/1/2012,11/30/2012,All Residential,"San Francisco, CA - Marina District",Neighborhood,FALSE,California,CA,1626,Value,35,0.060606061,-0.270833333,1.044597634,-0.50%,5.20%,16,33.30%,-20.00%,10,-9.10%,-50.00%,14,0,-33,827.1553386,0.122393675,0.260791047,"1,547,000",0.032021348,-0.008333333,845.9558824,0.017482264,0.145814706,"$1,701K",20.70%,38.60%,,,,24,-4.00%,-7.70%,1,0.285714286,-0.464285714,-0.089285714,"41,884",7,-0.125,-0.125,90,,,,-1,1,0.625,-0.041666667,0.275
San Francisco,4/5/2020 14:45,,"San Francisco, CA",10/1/2012,12/31/2012,All Residential,"San Francisco, CA - Silver Terrace",Neighborhood,FALSE,California,CA,2469,Value,27,0,-0.25,1.0028864,-1.40%,-2.00%,14,-22.20%,-44.00%,9,-25.00%,12.50%,19.5,-9.5,-6.5,314.7650222,-0.131386141,0.031589899,"372,000",-0.139784946,-0.008,369.3498198,0.08621329,0.086594292,$406K,2.70%,1.50%,,,,18,0.00%,38.50%,1,0.5,0,0.5,"41,884",8,0.333333333,0.142857143,90,,,,-1,1,0.642857143,0.087301587,0.202857143
San Francisco,4/5/2020 14:45,,"San Francisco, CA",1/1/2013,3/31/2013,All Residential,"San Francisco, CA - Nob Hill",Neighborhood,FALSE,California,CA,1836,Value,38,0.117647059,-0.191489362,1.032191202,2.00%,5.50%,15,-34.80%,-6.30%,21,61.50%,40.00%,14,-17,-54.5,905.2181913,-0.039925371,0.33595518,"1,622,500",0.081666667,0.657303371,771.6049383,-0.060654858,0.197056455,"$1,277K",-0.70%,82.20%,,,,32,68.40%,6.70%,1,0.857142857,-0.142857143,0.395604396,"41,884",7,0.75,-0.461538462,90,,,,-1,1,0.533333333,0.055072464,0.220833333
San Francisco,4/5/2020 14:45,,"San Francisco, CA",2/1/2013,4/30/2013,All Residential,"San Francisco, CA - Marina District",Neighborhood,FALSE,California,CA,1626,Value,51,0.186046512,0.214285714,1.036067664,0.10%,3.60%,33,57.10%,57.10%,10,-47.40%,-37.50%,13.5,-0.5,-0.5,868.2652429,0,0.22058402,"1,395,000",-0.066889632,0.141571195,888.177053,0.062829704,0.291103499,"$1,500K",25.00%,28.30%,,,,41,5.10%,57.70%,1,0.5,-0.318181818,0,"41,884",18,0.636363636,8,90,,,,-1,1,0.606060606,0.034632035,0.32034632
San Francisco,4/5/2020 14:45,,"San Francisco, CA",5/1/2013,7/31/2013,All Residential,"San Francisco, CA - Crocker Amazon",Neighborhood,FALSE,California,CA,641,Value,35,0.129032258,0.25,1.054334207,-2.30%,1.10%,18,0.00%,0.00%,10,11.10%,11.10%,16.5,4,-6,396.9155844,-0.112623911,0.129499258,"599,000",0,0.200400802,510.5972008,0.089524321,0.234100246,$647K,-1.50%,27.40%,,,,30,30.40%,30.40%,1,0.5,0,0.166666667,"41,884",10,1.5,0.666666667,90,,,,-1,1,0.611111111,-0.111111111,0.166666667
San Francisco,4/5/2020 14:45,,"San Francisco, CA",6/1/2013,8/31/2013,All Residential,"San Francisco, CA - Panhandle",Neighborhood,FALSE,California,CA,114127,Value,15,-0.25,-0.166666667,1.0816047,0.40%,5.10%,13,-23.50%,-27.80%,3,-25.00%,-25.00%,16,1,4.5,655.3422335,0.058461538,0.09641605,"849,000",-0.055617353,0.133511348,582.1371611,-0.143112314,-0.077184238,$760K,-6.70%,-8.10%,,,,10,-16.70%,-23.10%,1,0.4,-0.6,-0.1,"41,884",5,1.5,-0.166666667,90,,,,-1,1,0.846153846,0.022624434,0.179487179
San Francisco,4/5/2020 14:45,,"San Francisco, CA",7/1/2013,9/30/2013,All Residential,"San Francisco, CA - Cathedral Hill",Neighborhood,FALSE,California,CA,402,Value,35,0.166666667,-0.054054054,1.051187696,-0.40%,3.30%,23,-4.20%,-17.90%,10,66.70%,42.90%,16,1,-1,665.5555556,0.002748961,0.073208333,"679,000",0.074367089,0.152801358,693.2251485,0,0.24314493,$630K,-2.70%,37.60%,,,,24,0.00%,-11.10%,1,0.714285714,0.314285714,0.464285714,"41,884",7,0.4,-0.125,90,,,,-1,1,0.652173913,-0.014492754,0.116459627
San Francisco,4/5/2020 14:45,,"San Francisco, CA",7/1/2013,9/30/2013,All Residential,"San Francisco, CA - Bret Harte",Neighborhood,FALSE,California,CA,118713,Value,16,0.142857143,-0.238095238,0.981285436,-7.00%,-7.20%,8,100.00%,-38.50%,8,33.30%,33.30%,36,-6,26,332.5,0,0.246155496,"485,000",0.04978355,0.115070698,342.0146727,0.095005259,0.39461101,$468K,-0.50%,-0.10%,,,,11,10.00%,-21.40%,1,1,0.666666667,0.4,"41,884",2,-0.333333333,-0.6,90,,,,-1,1,0.625,-0.125,0.163461538
San Francisco,4/5/2020 14:45,,"San Francisco, CA",8/1/2013,10/31/2013,All Residential,"San Francisco, CA - South Beach",Neighborhood,FALSE,California,CA,2560,Value,219,-0.075949367,-0.0875,1.02512146,-1.20%,2.70%,143,-5.30%,14.40%,68,-6.80%,-9.30%,14.5,0.5,-0.5,957.4468085,0.022106519,0.197886717,"879,000",0.06223565,0.103024219,921.4202007,0.013562221,0.192087385,$815K,-3.60%,4.50%,,,,166,-2.40%,-4.60%,1,0.395833333,-0.093055556,-0.048611111,"41,884",48,0.066666667,-0.111111111,90,,,,-1,1,0.590277778,-0.032238779,0.166277778
San Francisco,4/5/2020 14:45,,"San Francisco, CA",8/1/2013,10/31/2013,All Residential,"San Francisco, CA - Mission Terrace",Neighborhood,FALSE,California,CA,1738,Value,23,0.045454545,-0.08,1.100997958,2.20%,6.80%,17,30.80%,41.70%,3,-62.50%,-57.10%,16,1,-24.5,509.787234,-0.060174703,0.304231112,"698,000",-0.00071582,0.27140255,533.870136,0.108960631,0.144591409,$760K,0.00%,18.20%,,,,17,-5.60%,30.80%,1,0.25,0.05,0,"41,884",8,0.6,0,90,,,,-1,1,0.764705882,0.07239819,0.098039216
San Francisco,4/5/2020 14:45,,"San Francisco, CA",10/1/2013,12/31/2013,All Residential,"San Francisco, CA - South of Market",Neighborhood,FALSE,California,CA,6595,Value,265,-0.158730159,-0.007490637,1.020702423,-0.60%,1.60%,214,4.40%,18.20%,28,-60.60%,-41.70%,19,2,0,856.9926393,-0.011593545,0.077624833,"841,500",-0.008249853,0.051875,888.8888889,0.032395681,0.151739975,$838K,0.50%,8.80%,,,,160,-34.40%,7.40%,1,0.34,-0.0975,-0.070714286,"41,884",50,-0.375,-0.107142857,90,,,,-1,1,0.511627907,-0.056333258,0.08068868
San Francisco,4/5/2020 14:45,,"San Francisco, CA",11/1/2013,1/31/2014,All Residential,"San Francisco, CA - University Mound",Neighborhood,FALSE,California,CA,111230,Value,5,-0.375,-0.444444444,1.119823438,2.80%,4.20%,7,0.00%,-12.50%,3,50.00%,-25.00%,17,0,-22.5,590,0.047357717,0.481418075,"649,000",0.057003257,0.083472454,546.6666667,0.096915097,0.461136713,$650K,-13.20%,2.70%,,,,3,-50.00%,-25.00%,1,,,,"41,884",,,,90,,,,-1,1,1,0.142857143,0.75
San Francisco,4/5/2020 14:45,,"San Francisco, CA",11/1/2013,1/31/2014,All Residential,"San Francisco, CA - St. Marys Park",Neighborhood,FALSE,California,CA,109033,Value,8,0.142857143,0,1.084425979,-9.80%,-1.00%,5,25.00%,66.70%,5,66.70%,25.00%,34,15.5,20,514.2688472,-0.046624676,0.119649822,"822,000",-0.032941176,0.42276071,584.874864,0.063408844,0.393918738,$930K,10.70%,82.40%,,,,6,20.00%,0.00%,1,0.5,,0.166666667,"41,884",2,,-0.333333333,90,,,,-1,1,0.8,-0.2,-0.2
San Francisco,4/5/2020 14:45,,"San Francisco, CA",12/1/2013,2/28/2014,All Residential,"San Francisco, CA - Outer Mission",Neighborhood,FALSE,California,CA,403,Value,15,0.153846154,0.875,1.129830428,-1.40%,7.50%,9,80.00%,-10.00%,5,0.00%,150.00%,26,8,13,338.6451613,-0.221119114,-0.301753912,"614,000",0.118397086,-0.127840909,397.0588235,-0.26128591,-0.049389353,$600K,0.00%,12.30%,,,,6,-14.30%,50.00%,1,,,,"41,884",,,,90,,,,-1,1,0.666666667,-0.133333333,-0.133333333
San Francisco,4/5/2020 14:45,,"San Francisco, CA",2/1/2014,4/30/2014,All Residential,"San Francisco, CA - Southwest San Francisco",Neighborhood,FALSE,California,CA,116213,Value,709,0.092449923,-0.048322148,1.130577959,2.60%,3.30%,485,16.60%,7.10%,158,-3.70%,-17.70%,14,0,0,617.2661871,-0.008050836,0.137286166,"899,000",0,0.058892815,704.3478261,0.038644891,0.192360248,"$1,050K",3.90%,14.80%,,,,588,5.20%,-2.30%,1,0.647368421,-0.064588101,-0.019298246,"41,884",190,0.032608696,-0.082125604,90,,,,-1,1,0.813141684,0.051122453,0.05322979
San Francisco,4/5/2020 14:45,,"San Francisco, CA",4/1/2014,6/30/2014,All Residential,"San Francisco, CA - Upper Market",Neighborhood,FALSE,California,CA,115175,Value,21,-0.086956522,-0.275862069,1.173556259,-4.30%,8.10%,11,10.00%,-35.30%,7,-22.20%,16.70%,12.5,1.5,-5,729.6418013,0.001931001,0.124091525,"779,000",-0.478929766,-0.114269471,815.5381204,-0.13816036,0.306214682,"$1,400K",-22.80%,86.70%,,,,15,-11.80%,-44.40%,1,0.6,0.1,0.292307692,"41,884",5,1.5,-0.615384615,90,,,,-1,1,0.818181818,-0.181818182,0.112299465
San Francisco,4/5/2020 14:45,,"San Francisco, CA",5/1/2014,7/31/2014,All Residential,"San Francisco, CA - Diamond Heights",Neighborhood,FALSE,California,CA,693,Value,19,-0.095238095,0.1875,1.135619649,2.70%,0.80%,13,-23.50%,-18.80%,6,50.00%,200.00%,11,0,-2.5,648.1081081,0.168719539,0.339097401,"889,000",0.484140234,0.476744186,636.6666667,-0.03357265,0.052622222,$935K,62.60%,72.40%,,,,13,-13.30%,-7.10%,1,0.833333333,0.833333333,0.433333333,"41,884",6,5,0.2,90,,,,-1,1,0.923076923,0.099547511,0.110576923
