RegionID,RegionName,City,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
268384,Outer Sunset,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,181,276700,275930,275207,274532,274715,275206,276544,277890,279818,281863,284423,286545,288997,291860,295218,299011,302374,305739,308421,311634,314946,318655,322264,326253,330152,334221,338443,342789,346489,350314,353792,356962,358869,360699,362803,365346,367658,370042,372328,374866,378053,381654,386049,391327,397644,404175,410246,416705,424068,431895,440307,448689,457397,465353,474528,484199,496161,507249,517371,523151,527932,530902,533686,534303,533529,533987,532604,531409,526682,524503,522452,525168,527624,533688,540263,548894,558653,564990,570717,573194,577398,578860,583119,586744,591741,591295,590261,590948,593900,598211,602012,609315,617558,630220,640504,650289,657852,668515,679871,690515,698932,709973,723135,735860,746712,754367,765978,775014,784375,790661,796625,801491,804700,808618,813249,814846,816645,815919,810930,805716,802244,805245,808992,811383,812568,810694,806208,803672,803130,804708,809951,815682,823522,824018,824448,823332,825154,826220,826285,826193,819637,814456,804896,802092,796077,794479,785288,776094,768156,764803,761896,756914,750746,743145,733333,723450,713728,706837,705321,707027,701721,692862,687886,687447,696292,702897,713067,713015,713461,710379,710390,705267,705935,705739,703842,698032,686259,678168,668937,665599,662540,658071,649781,644775,641251,640533,639484,639449,640523,638503,641519,646101,650684,655246,661440,672953,683892,695600,707078,717417,729218,745675,752149,759436,767188,784607,803307,814886,826584,832793,837254,840862,846723,852876,867772,880329,893084,897706,898382,899843,896845,897199,900978,915502,926653,934500,945610,959855,975812,983934,998505,1017505,1042804,1067449,1090643,1098696,1111112,1125707,1134197,1134988,1126197,1129173,1126345,1122370,1115979,1116814,1120294,1132661,1139656,1142415,1137803,1135910,1146155,1160845,1173278,1184260,1194877,1209780,1219419,1233004,1242592,1256397,1273914,1299881,1320880,1328336,1344579,1352720,1366297,1363934,1364711,1358708,1350679,1352846,1353065,1350051,1341467,1341583,1337904,1341704,1342697,1352739,1363658,1377065,1396288,1407882,1422691
274552,Mission,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,259,354520,353300,351889,349740,352121,355397,359193,360825,362848,365193,369382,372348,374974,378738,384006,391215,392049,391600,391353,393864,394915,396037,400022,406384,412979,417488,419797,421075,423685,428749,434297,442507,453586,465149,474134,478123,479738,480972,487544,498583,509787,519516,528094,537345,548363,559749,569302,579558,593259,610774,626658,638378,651887,664764,679407,693390,705749,716282,726303,740351,754541,763492,763862,760874,757717,757059,755955,755459,753758,753616,750296,746654,738398,740805,753064,771412,785829,792917,798063,795897,795344,795817,804822,812519,821931,813772,803869,790793,788241,788872,789644,797600,803776,812545,818274,825194,831633,846914,859628,876243,884659,897831,915338,933604,955430,971573,992891,1008016,1027663,1043922,1062373,1076363,1090352,1104273,1117918,1124918,1127523,1129242,1125690,1126315,1121167,1121636,1119459,1118287,1120088,1121589,1120247,1117846,1119780,1123552,1131570,1135353,1146376,1153076,1164972,1171693,1174542,1174145,1168485,1171462,1165985,1165995,1154760,1153718,1146357,1141289,1122519,1106380,1093621,1084058,1074648,1061523,1047219,1031898,1014563,1000645,984842,971602,968874,971814,966950,953658,950265,952789,965875,965089,972142,968506,975018,979035,978360,969045,968332,973364,972968,963439,949180,949378,948478,951980,946530,940025,928069,918184,906554,902571,903980,909580,915361,917108,924478,929534,934166,936288,952485,980658,1019785,1046637,1062239,1065458,1071569,1080598,1085717,1099908,1121511,1152984,1178233,1187878,1182689,1181243,1188975,1211148,1235342,1255798,1268288,1270543,1275409,1284739,1286780,1292735,1300449,1309209,1310665,1317421,1322953,1330129,1345545,1364764,1384611,1382592,1391500,1409752,1423488,1440506,1453611,1457751,1453805,1457800,1469417,1478078,1463269,1459497,1448269,1431161,1420108,1423300,1442310,1468676,1488227,1497958,1488716,1484333,1494048,1517042,1540641,1558927,1573264,1567413,1562974,1558620,1576211,1591461,1615400,1633451,1659155,1663272,1677208,1701406,1741065,1777886,1797593,1805597,1800407,1801511,1802340,1807557,1803758,1808309,1805887,1799720,1782591,1775525,1777521,1786686,1795769,1802943,1809690
268383,Outer Richmond,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,390,359040,358139,357739,358171,359008,359703,361639,363842,366063,368338,371122,374395,377582,380577,383401,385831,388531,391781,393902,396934,401160,406518,411607,415587,421539,427886,434714,441140,446961,453681,459839,464675,467849,470046,474157,479225,483533,487127,490232,494379,499501,504428,511258,518521,527483,536432,543736,551076,558631,566710,577036,587338,598401,606826,615022,626128,639392,651824,661241,667279,673918,679680,681875,680494,677313,677679,677644,675184,668777,665651,665213,668563,669047,672500,677442,686091,696135,703555,711016,714972,720834,722187,727128,731731,738977,741350,744962,749212,753813,756831,757176,763202,770462,784965,794761,805572,814160,824924,835209,845385,855814,868566,882854,894572,906031,913204,926084,931028,937827,941343,945670,948507,949089,954937,963754,969343,970391,966570,958597,954434,948708,949954,951784,953506,952926,946613,939692,934826,934883,935940,942401,949255,960701,964791,966295,966367,968403,971901,970185,971061,965222,962752,952324,947544,942351,940249,931447,917796,909123,900812,893658,881392,870135,861452,850286,840013,824293,814813,811549,815437,809646,801953,798868,801290,810780,814564,822185,819986,821573,818973,818081,811432,810165,809313,805949,799826,787976,779755,771744,769137,766823,760781,752441,749137,748716,749533,750388,752772,756702,756935,761605,766278,769735,772485,777497,784547,792479,804313,818819,828406,836817,851707,858399,866380,874488,895685,918882,937564,954651,962839,965963,970514,984750,1000704,1025330,1048448,1071595,1084929,1088596,1094634,1096060,1106423,1120669,1146248,1158632,1160458,1163448,1174976,1193562,1202655,1222549,1243089,1266175,1280299,1289096,1288811,1298832,1322214,1341252,1347352,1338634,1341873,1338833,1338842,1339846,1352660,1366652,1384310,1391666,1389199,1374709,1361828,1362086,1372654,1384185,1390664,1395135,1403621,1417328,1430783,1444161,1457271,1479811,1510819,1539035,1549806,1564894,1567927,1580341,1573001,1572091,1565979,1561464,1566725,1559609,1550828,1533350,1531286,1527536,1535840,1539753,1555990,1567069,1583950,1604210,1621829,1650397
268219,Inner Richmond,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,464,472096,471848,470905,468554,468155,469583,473941,478664,484256,489350,496247,503303,508020,512589,518437,528987,537542,544919,548055,551720,555525,560819,565595,570619,578027,587683,599414,606996,614211,618391,623971,629896,637491,646231,653553,659899,663677,667524,670635,677744,687617,704021,720748,736347,744589,752211,760727,773363,786892,801746,817940,835296,850154,862332,875218,890473,912033,931338,948181,958403,969256,973635,972551,967484,966129,963833,959395,954618,947897,945994,943264,944669,943740,950981,969412,986176,998901,1005019,1014391,1019898,1028544,1026116,1030132,1031068,1037833,1036418,1028167,1023504,1025918,1032041,1036670,1042219,1045640,1061201,1072348,1087201,1099168,1114339,1133120,1153417,1168850,1187853,1205862,1230372,1261241,1292416,1328187,1351848,1368958,1389025,1402222,1418534,1424087,1441147,1462611,1475177,1475086,1459817,1439266,1429093,1423782,1412149,1405964,1389027,1393148,1382105,1372124,1359509,1355594,1358826,1372572,1384707,1404856,1420053,1430876,1444425,1444511,1447284,1442112,1449125,1447453,1443895,1427894,1413445,1397272,1395962,1390052,1386634,1382958,1389820,1386133,1370948,1353048,1349395,1346146,1347941,1334462,1318886,1304320,1288457,1270274,1233491,1218408,1208064,1209935,1197225,1186076,1170653,1162415,1149562,1143904,1137544,1136072,1138867,1140058,1140591,1135097,1129617,1121684,1115851,1115733,1120736,1114046,1109791,1102960,1106355,1102076,1099453,1098132,1100268,1114260,1126258,1133350,1130661,1141757,1157414,1185722,1207683,1227593,1238206,1251921,1270180,1277563,1290837,1307295,1339318,1366092,1383756,1384349,1385266,1392183,1416961,1439829,1465610,1486227,1503875,1520418,1533597,1545054,1560274,1581469,1597409,1609718,1623039,1633828,1633533,1649126,1669135,1695520,1703056,1714273,1729624,1741842,1759108,1786823,1801510,1826911,1850879,1867511,1863302,1845714,1852183,1855466,1859260,1855105,1860148,1851671,1850125,1840796,1841723,1840996,1845064,1858442,1870514,1881563,1877202,1888791,1907444,1940734,1975266,1999436,2020098,2033634,2069376,2099401,2112934,2132726,2179356,2233958,2275152,2295063,2310569,2307531,2310306,2314855,2319744,2321283,2331573,2338134,2332507,2314064,2301639,2300909,2302033,2324102,2341063,2360976
268396,Parkside,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,518,288714,287394,286741,286397,287069,288172,289913,291918,294059,296680,299659,302908,306105,309800,313537,317776,321001,324395,327464,331192,335402,339861,344564,349422,354509,359246,363218,366622,370498,374519,378404,381185,383183,384378,385780,387376,389936,393085,397251,401821,406416,409892,413962,419099,426392,434357,441901,449277,455451,461858,467996,475167,482296,491363,501971,514342,525898,535710,544811,552948,561539,567371,571735,572740,574014,575044,574621,572944,569675,569581,568831,569086,569152,574379,583510,594148,603972,610207,615486,618115,622059,623166,627361,631972,638170,638538,636176,636908,640614,646087,650653,658375,667389,680694,691772,701942,708686,717636,727729,736214,743265,751940,762842,773222,782431,790065,802273,813178,824627,833860,842708,850453,855728,862698,871519,877287,882499,882982,878956,872965,868942,869773,871461,874043,876388,876736,871347,868916,867457,868504,872033,876823,886259,891053,895716,894707,896507,896478,897107,895753,888332,883766,875119,874922,870057,868486,859358,851886,843585,838276,833180,827592,821471,813480,804086,793537,781554,771967,767900,767993,762034,753456,750063,751963,763350,771631,782118,782603,784090,783010,783358,777643,778347,778358,777004,769486,755773,745117,734622,730156,725917,718966,709871,705324,702834,703140,701559,701681,702236,700723,703813,708903,714159,720008,726453,737025,745792,756643,767370,777811,789863,807574,817538,825643,835104,852910,874236,887410,901425,906507,911528,913367,920285,925926,943651,961293,978467,985795,985300,986493,981799,983957,987625,1002594,1010422,1014160,1011407,1012119,1016379,1018467,1029464,1046171,1071129,1093668,1113623,1122260,1137295,1156594,1169627,1172688,1163232,1164250,1158392,1148283,1135672,1132839,1138152,1151250,1157869,1159388,1159187,1162105,1174987,1192762,1212747,1237849,1259069,1278215,1287030,1296312,1302770,1315116,1330334,1353465,1371701,1376741,1384601,1381564,1385970,1383431,1384677,1381665,1376154,1376636,1372423,1365272,1357030,1356259,1354192,1359272,1362414,1370876,1381458,1395053,1414817,1430232,1450674
268491,South of Market,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,546,336675,335221,334144,333418,335229,338420,341322,344528,346847,350786,355892,359539,363136,367402,373034,378228,380276,380452,382146,383739,386667,388568,392661,397675,403727,408847,411980,416724,422638,430219,437567,446618,457527,466858,472785,479244,484441,492272,501092,510355,518489,526092,533886,540654,547424,556463,568090,580071,592499,604517,617993,629626,642118,654463,670219,686834,704375,720694,734905,741866,748683,749734,746646,738207,731183,725292,716319,708682,696482,684936,670613,663079,653444,651050,654924,666536,675901,681824,686682,685706,685542,684385,688926,693173,699951,702291,702406,701988,702840,703629,703624,708481,715868,725726,734824,742041,747566,751115,753978,755558,760621,769346,781469,793519,807253,821160,836652,850186,864652,879552,893467,908214,918370,931559,943458,949810,949784,944892,938917,935012,930127,932857,937276,939898,938279,933677,930044,932121,940952,951451,962532,973556,988263,991316,992883,991123,1000080,1005523,1010252,1013140,1005476,991933,971909,958468,948408,947203,941718,935920,922865,914252,898525,882991,864643,858011,850354,844959,831812,817628,806602,800202,791731,779378,775452,773019,784065,787468,795709,791366,790654,788536,789044,783754,785447,788163,788161,786286,776652,774586,770492,774899,777710,778165,772336,767605,762698,761535,763871,765245,770386,772193,779321,783407,785800,790876,801191,819612,839613,859340,873677,883320,891287,896692,893009,895944,906506,924806,944279,956574,968462,974530,978385,987805,1001310,1018315,1042151,1059110,1073043,1081741,1084179,1091238,1085731,1084216,1090049,1107275,1119266,1127491,1139634,1157970,1177135,1184578,1199490,1216428,1242787,1265941,1281970,1283135,1288107,1301524,1311549,1313279,1301190,1297739,1288610,1281201,1271996,1274847,1278689,1294721,1302476,1302154,1292398,1288641,1298136,1315317,1333200,1336324,1340501,1338190,1345791,1347158,1353352,1355615,1365223,1373594,1390852,1394984,1404140,1422452,1445614,1463762,1468064,1467229,1461651,1471643,1484479,1500329,1498980,1502864,1503505,1504235,1500425,1501238,1507473,1518102,1530860,1534109,1532783
268150,Excelsior,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,598,204412,203338,202767,202537,203187,203918,204883,205459,205937,206690,207989,209422,211224,213915,216537,219299,221344,223630,225978,229621,233715,237616,240579,243668,247097,250343,252879,255279,257672,260508,263040,264692,266391,268460,271372,273947,276578,279425,283532,287306,290982,293857,297909,302828,308415,314212,319740,325680,330597,336390,341613,347896,353533,360346,366721,374468,381905,388780,395154,399930,405174,408349,411077,413046,416037,419052,420950,420472,419308,419343,419253,421251,423104,427738,433051,438577,444195,448373,453285,457821,461916,464765,469490,474605,480368,482147,484279,486436,490752,493908,496456,500384,507193,517424,526761,534311,540773,549637,558617,568676,575284,585471,597450,610405,620471,625285,632186,638684,646229,652491,659110,666418,673414,681529,687679,690619,693888,700202,703867,705896,707890,713358,717836,718023,718102,715753,713870,712785,713017,711894,713481,715018,719116,719042,720448,720279,718891,714753,708443,704288,694687,685882,671530,664879,654417,645667,629783,616793,608309,603484,598140,589326,580251,572602,564167,555148,544791,537503,534971,534656,527800,519790,516486,517924,524560,527645,535097,536040,540459,541071,541821,535999,535476,534483,532638,527488,521056,516809,510619,506985,502965,497673,490302,488442,487626,487982,485074,483433,481663,480579,482565,485273,486280,488581,495272,503823,511286,519052,530422,540208,549281,559140,562557,569218,577807,594739,610677,623187,635877,644039,650162,655368,664699,671741,685031,694795,705877,708540,705995,702392,698045,698999,700849,709906,713594,718163,724072,733762,744800,748759,759034,772489,789804,803163,814545,816847,825419,838348,848257,851547,844560,849251,848317,847697,841453,844050,850856,861707,868875,869649,870924,869194,878212,886613,901529,918992,940655,958208,967872,979813,989835,1002107,1009727,1029127,1043112,1057866,1071766,1083397,1090561,1088445,1092701,1096495,1099814,1102928,1101973,1096803,1091546,1087710,1082792,1078921,1078729,1087078,1095171,1102835,1113572,1125993,1145605
268385,Pacific Heights,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,606,1146002,1146822,1149101,1149870,1151469,1154363,1159015,1165903,1173188,1183348,1188804,1195914,1201210,1211219,1222645,1241552,1258832,1278248,1295978,1317347,1340877,1366614,1392433,1420697,1452905,1485334,1514264,1539396,1566681,1592175,1618926,1634958,1647293,1650119,1668626,1691938,1722674,1740464,1761619,1774038,1796708,1813779,1835702,1859568,1891909,1930527,1959752,1985890,2004504,2040325,2076752,2124394,2155888,2192825,2232917,2288082,2346278,2396147,2433288,2450096,2479978,2502602,2533243,2546337,2575042,2601308,2613583,2609344,2584503,2581156,2573276,2596774,2600504,2625322,2640917,2669283,2696715,2713133,2733721,2739144,2753537,2748853,2770560,2786020,2802273,2782403,2765953,2762225,2746257,2723884,2695765,2703412,2730035,2775971,2808005,2831461,2855482,2884273,2914078,2932346,2958957,3008379,3073336,3121827,3146669,3149917,3182339,3203611,3236949,3263559,3294639,3325790,3345875,3373073,3401581,3424491,3452851,3477647,3469455,3456595,3433831,3447982,3462187,3472853,3477009,3469504,3452349,3431877,3421780,3413421,3428158,3454175,3495328,3499350,3503949,3509470,3538845,3553974,3548976,3556269,3533432,3530161,3497830,3490719,3480964,3492795,3472738,3435763,3401711,3387325,3380090,3356992,3331504,3307418,3271542,3242604,3194851,3159635,3136623,3137647,3104275,3065129,3053346,3062827,3118158,3154369,3209824,3209603,3214811,3208239,3228111,3219114,3249707,3272975,3297349,3292560,3253746,3220373,3196714,3210941,3234886,3242253,3218250,3215740,3205877,3217793,3232123,3271095,3308587,3320603,3343413,3378062,3414923,3455510,3511393,3584318,3662275,3740960,3773425,3770351,3760353,3802431,3819852,3835399,3858538,3918438,3993994,4044776,4055858,4026870,4007112,4034084,4114103,4188966,4283154,4349566,4398894,4418755,4398352,4393429,4430816,4486471,4563444,4628961,4660109,4671928,4674813,4704805,4747719,4764694,4831842,4897117,4925598,4944639,4949591,4960636,4974732,5022074,5046161,5038980,4979669,4975893,4941998,4900513,4867293,4890848,4935466,4994438,5024541,5012379,4992908,4981875,5040564,5116862,5183171,5235200,5294928,5329112,5352893,5361460,5390051,5427425,5498719,5606063,5711950,5738935,5813694,5921673,6057274,6161798,6212305,6241156,6227634,6275282,6316934,6357062,6350642,6383812,6391262,6386039,6356119,6356092,6400053,6465462,6559673,6610191,6648815
417493,Tenderloin,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1211149,1202361,1207174,1217712,1233260,1243202,1244476,1248360,1245533,1236428,1222307,1204140,1188347,1179566,1169332,1146587,1116891,1091832,1080537,1060977,1048182,1042430,1038916,1040783,1038235,1048152,1049506,1049694,1049282,1052493,1049782,1051103,1049474,1050058,1053306,1052729,1053514,1041214,1025139,1021125,1011138,996815,978819,966377,959823,943845,931841,921437,910176,905130,912486,917479,924444,928238,941702,952361,964703,984809,997248,1008229,1020350,1023419,1028789,1026154,1029534,1035676,1034431,1033873,1031181,1030100,1031681,1031920,1033309,1041381,1049627,1057268,1065626,1066302,1072563,1076603,1078949,1078669,1083420,1085947,1088399,1093721,1098353,1111414,1116463,1139917,1160733,1175582,1173892,1168992,1168379,1187459,1201807,1207380,1192522,1181194,1175538,1158777,1146922,1135664,1151804,1162121,1173143,1165445,1163221,1162063,1177637,1186584,1197789,1208309,1210474,1216602,1208298,1205599,1200368,1200026,1200350,1208594,1212367,1212553,1193637,1185905,1181197,1183251,1188639,1190583,1193961,1187271,1191063,1182156,1176169,1169870,1179312,1182609,1186854,1184623,1182024,1181133,1180818,1189812,1190662,1197989
268020,Bernal Heights,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,822,293844,292292,291499,291017,291786,292430,293814,294651,297326,300737,305368,309997,314960,319880,323667,327347,330964,336892,342015,347870,351951,355543,358258,361290,364517,368253,374144,381566,387320,391358,395807,401933,406938,412885,419101,426552,432733,437926,443137,447327,451514,454370,459280,465263,472976,479039,485160,492508,499649,508891,518151,530789,547110,564165,580409,593829,610352,625073,638192,645539,655753,660947,663211,660226,657535,658764,658827,659352,654295,653926,652004,655350,654708,662232,674045,688114,693862,692499,691799,694187,699651,701653,708094,712148,719573,717929,715392,713066,721865,731052,739437,744337,752352,765316,777138,789833,799742,813304,825896,840240,851228,868572,887761,909967,926762,940063,956237,970110,986116,1001895,1018520,1034479,1040864,1048956,1055382,1056517,1054587,1047823,1038735,1028071,1018971,1013290,1009819,1001132,998791,990132,982338,979220,986178,995800,1005619,1014113,1025615,1029880,1031139,1033679,1037800,1045840,1048331,1049623,1036682,1026421,1011622,1007047,998184,997889,989288,978659,967031,953642,943947,931957,924308,917317,907502,900149,886725,872084,863264,862528,857104,850754,848392,851068,861682,866576,875824,870082,872362,872542,877025,871620,875110,877659,878602,870406,856526,848035,840561,840987,840664,840538,836683,834794,824831,818381,815683,820898,824170,819823,823724,831500,839949,841270,844061,855694,881226,905944,918386,922974,931335,957830,971032,980988,986264,1010141,1036052,1055390,1061503,1063790,1073508,1089203,1114627,1129436,1146138,1159374,1176742,1194076,1204145,1217336,1223423,1233460,1245507,1266892,1275432,1276139,1290058,1313998,1345313,1345252,1352128,1359101,1378116,1396599,1410905,1415233,1420471,1436705,1441722,1434627,1407076,1407626,1406008,1408972,1406843,1412839,1416681,1426508,1428923,1431006,1421284,1414715,1420431,1431589,1440857,1441834,1445858,1447426,1455045,1460956,1477453,1485285,1505835,1534501,1569788,1587703,1609216,1619358,1633510,1629110,1626674,1614261,1599206,1593537,1589051,1581776,1567110,1555356,1543235,1543059,1539737,1549828,1556635,1571139,1584743,1596892,1606419
